SakaID,SakaMetni,TepkiMetinleri,Kategori,AltKategori,Dil,UygunlukFiltresi
J001,"Neden elektron mutsuzdu?","[""Çünkü hep negatifti!"", ""Anlamadım ama komik?"", ""Fizikçiler anlar!""]",Bilimsel_Espri,Fizik,TR,Genel
J002,"Adamın biri gülmüş, saksıya koymuşlar.","[""Hahaha!"", ""Bu çok soğuktu!"", ""İğrenç bir espri.""]",Soguk_Espri,Baba_Sakasi,TR,Genel
J003,"Vur joker vur!","[""Oyna oyna oyna!"", ""Joker iyidir!"", ""Yine mi bu?""]",Rituel,Sim_Ozel,TR,Genel
J004,"Kaynanam sonunda ideal kilosuna ulaştı: 3 kilo, lahiti dahil.","[""Bu biraz ağır oldu."", ""Kara mizah severim!"", ""Hiç komik değil.""]",Kara_Mizah,Olum,TR,Kara_Mizah_Seviye2
J005,"Ben kahve içiyorum, Nurgül Yeşilçay.","[""Zekice!"", ""Kelime oyunu mu bu?"", ""Güzeldi!""]",Kelime_Oyunu,,TR,Genel
J006,"Uzaylılar neden dünyayı istila etmiyor?","[""Neden?"", ""Çünkü yorumları okumuşlar, tek yıldız vermişler."", ""Mantıklı geldi.""]",Absurt_Mizah,,TR,Genel
J007,"Temel bir gün Fransa'ya gitmiş. 'Aaa burayı da mı Sabancı aldı?' demiş.","[""Klasik Temel fıkrası."", ""Hahaha!"", ""?""]",Bolgesel_Fikra,Temel,TR,Genel
J008,"Geçen gün taksi çevirdim, hala dönüyor.","[""Offf!"", ""Baba şakası alarmı!"", ""Güldüm, ne yalan söyleyeyim.""]",Soguk_Espri,Baba_Sakasi,TR,Genel
J009,"İki bilgisayar mühendisi karşılaşmış, biri diğerine 'Naber abi, formatın kaymış?' demiş.","[""Mühendisler anlar."", ""Çok komik!"", ""Sadece biz güleriz buna.""]",Mesleki_Espri,Bilgisayar,TR,Genel
J010,"İki atom yolda yürüyormuş. Biri 'Eyvah, bir elektronumu kaybettim!' demiş. Diğeri sormuş: 'Emin misin?' 'Evet, pozitifim!'","[""Bu iyiydi!"", ""Kimya dersi gibi."", ""Bilimsel ve komik!""]",Bilimsel_Espri,Kimya,TR,Genel
J011,"Seni görünce gözlerim dolar, kulaklarım euro.","[""Finansal bir aşk."", ""Hahaha!"", ""Çok kötüydü!""]",Soguk_Espri,,TR,Genel
J012,"Sana bir kıllık yapayım, kıllarını koyarsın.","[""Bu çok eski."", ""Ayıp ama komik."", ""Yine mi bu?""]",Kelime_Oyunu,,TR,Genel
J013,"Doktor: 'Size kötü bir haberim var, Alzheimer olmuşsunuz.' Hasta: 'Olsun doktor bey, en azından kanser değilim.'","[""Acı ama gerçekçi."", ""Kara mizahın dibi."", ""Gülsem mi ağlasam mı?""]",Kara_Mizah,Hastalik,TR,Kara_Mizah_Seviye1
J014,"Mavi besin geldi mi?","[""Sonunda!"", ""Paylaşalım mı?"", ""Bütün gün bunu bekledim.""]",Rituel,Sim_Ozel,TR,Genel
J015,"Canım sıkkın. -Canan kim?","[""Lütfen yapma bunu."", ""Klasik baba şakası."", ""Düştüm bu espriye.""]",Soguk_Espri,Baba_Sakasi,TR,Genel
J016,"Helyum bir bara girer ve bira ister. Barmen şöyle der: 'Üzgünüm, burada soylulara (soygazlara) servis yapmıyoruz.' Helyum tepki vermez.","[""Soylu bir tepkisizlik."", ""Anlayan anladı."", ""Harika!""]",Bilimsel_Espri,Kimya,TR,Genel
J017,"Erkekler neden evlenir?","[""Neden?"", ""Kirli çoraplarının kendi kendine yürümesinden korktukları için."", ""Bu biraz cinsiyetçi.""]",Mustehcen,,TR,Hafif_Mustehcen
J018,"4. Murat neden intihar etmiş?","[""Bilmiyorum, neden?"", ""İlk 3'e giremediği için."", ""Tarihi bir soğuk espri.""]",Soguk_Espri,Tarih,TR,Genel
J019,"Hoca bir gün göle maya çalmış. Etraftakiler 'Hocam, göl maya tutar mı hiç?' demiş. Hoca cevap vermiş: 'Ya tutarsa?'","[""Ya tutarsa!"", ""Umudun fıkrası."", ""Nasreddin Hoca klasiği.""]",Bolgesel_Fikra,Nasreddin_Hoca,TR,Genel
J020,"Cenaze namazında imam sordu: Merhumu nasıl bilirdiniz? Arkadan bir muhasebeci bağırdı: Alacaklı!","[""Meslek hastalığı."", ""Bu çok iyiydi!"", ""Rahmetli borçlu gitti.""]",Mesleki_Espri,Muhasebe,TR,Genel
J021,"Bir fil neden pembe terlik giyer?","[""Neden ki?"", ""Çünkü kırmızı terlikleri çamaşır makinesindeydi."", ""Absürtlüğün zirvesi!""]",Absurt_Mizah,,TR,Genel
J022,"Hayat çok güzel, özellikle de başkalarınınki.","[""Bu doğru."", ""Sarkazm kokusu alıyorum."", ""Biraz karamsar ama komik.""]",Kara_Mizah,Sarkazm,TR,Kara_Mizah_Seviye1
J023,"Paralel iki doğru sonsuzda ne yapar?","[""Ne yaparlar?"", ""Sohbet ederler."", ""Matematik ve felsefe bir arada.""]",Bilimsel_Espri,Matematik,TR,Genel
J024,"Adamın biri o kadar tembelmiş ki, köpeğinin adını 'Git' koymuş.","[""Tembelliğin bu kadarı!"", ""Akıllıca."", ""Hahaha!""]",Soguk_Espri,,TR,Genel
J025,"Yangın merdiveni ne işe yarar?","[""Ne işe yarar?"", ""Yangın çıkmamasına."", ""Mantık hatası ama komik.""]",Absurt_Mizah,,TR,Genel
